skill_type,level,tries_needed
SWORD,1,50
SWORD,2,56
SWORD,3,63
SWORD,4,70
SWORD,5,78
SWORD,6,87
SWORD,7,98
SWORD,8,109
SWORD,9,122
SWORD,10,137
SWORD,11,153
SWORD,12,171
SWORD,13,191
SWORD,14,214
SWORD,15,239
SWORD,16,268
SWORD,17,300
SWORD,18,336
SWORD,19,376
SWORD,20,421
AXE,1,50
AXE,2,56
AXE,3,63
AXE,4,70
AXE,5,78
AXE,6,87
AXE,7,98
AXE,8,109
AXE,9,122
AXE,10,137
AXE,11,153
AXE,12,171
AXE,13,191
AXE,14,214
AXE,15,239
AXE,16,268
AXE,17,300
AXE,18,336
AXE,19,376
AXE,20,421
CLUB,1,50
CLUB,2,56
CLUB,3,63
CLUB,4,70
CLUB,5,78
CLUB,6,87
CLUB,7,98
CLUB,8,109
CLUB,9,122
CLUB,10,137
CLUB,11,153
CLUB,12,171
CLUB,13,191
CLUB,14,214
CLUB,15,239
CLUB,16,268
CLUB,17,300
CLUB,18,336
CLUB,19,376
CLUB,20,421
DISTANCE,1,52
DISTANCE,2,58
DISTANCE,3,65
DISTANCE,4,73
DISTANCE,5,82
DISTANCE,6,92
DISTANCE,7,103
DISTANCE,8,115
DISTANCE,9,129
DISTANCE,10,144
DISTANCE,11,161
DISTANCE,12,180
DISTANCE,13,202
DISTANCE,14,226
DISTANCE,15,253
DISTANCE,16,283
DISTANCE,17,317
DISTANCE,18,355
DISTANCE,19,397
DISTANCE,20,444
SHIELD,1,55
SHIELD,2,63
SHIELD,3,72
SHIELD,4,82
SHIELD,5,94
SHIELD,6,107
SHIELD,7,122
SHIELD,8,139
SHIELD,9,158
SHIELD,10,180
SHIELD,11,205
SHIELD,12,233
SHIELD,13,265
SHIELD,14,302
SHIELD,15,344
SHIELD,16,392
SHIELD,17,446
SHIELD,18,508
SHIELD,19,578
SHIELD,20,658
MAGIC,1,80
MAGIC,2,94
MAGIC,3,111
MAGIC,4,131
MAGIC,5,155
MAGIC,6,183
MAGIC,7,216
MAGIC,8,255
MAGIC,9,301
MAGIC,10,354
MAGIC,11,418
MAGIC,12,492
MAGIC,13,580
MAGIC,14,684
MAGIC,15,806
MAGIC,16,951
MAGIC,17,1122
MAGIC,18,1325
MAGIC,19,1563
MAGIC,20,1857
